rank,personName,age,finalWorth,year,month,category,country,state,city,countryOfCitizenship,selfMade,gender,birthDate,title,philanthropyScore
509,Nathan Kirsh,90,5300,2022,4,Fashion & Retail,Eswatini (Swaziland),,Ezulwini,Eswatini (Swaziland),TRUE,M,06-01-1932,,
509,Forrest Li,44,5300,2022,4,Media & Entertainment,Singapore,,Singapore,Singapore,TRUE,M,01-01-1978,,
509,Rudolf Maag,76,5300,2022,4,Healthcare,Switzerland,,Binningen,Switzerland,TRUE,M,31-01-1946,,
509,Gary Rollins,77,5300,2022,4,Service,United States,Georgia,Atlanta,United States,FALSE,M,30-08-1944,,1
509,Ugur Sahin,56,5300,2022,4,Healthcare,Germany,,Mainz,Germany,TRUE,M,19-09-1965,,
509,Mark Scheinberg,48,5300,2022,4,Gambling & Casinos,United Kingdom,,Isle of Man,Canada,TRUE,M,27-12-1973,Entrepreneur,
509,Shen Guojun,59,5300,2022,4,Fashion & Retail,China,,Beijing,China,TRUE,M,31-07-1962,,
509,Chip Wilson,65,5300,2022,4,Fashion & Retail,Canada,,Vancouver,Canada,TRUE,M,01-01-1957,Chairman,
509,Zhang Yong,51,5300,2022,4,Food & Beverage,Singapore,,Singapore,Singapore,TRUE,M,01-07-1970,,
523,James Chambers,64,5200,2022,4,Media & Entertainment,United States,New York,Palisades,United States,FALSE,M,12-04-1957,,1
523,Chen Fashu,61,5200,2022,4,Finance & Investments,China,,Fuzhou,China,TRUE,M,26-10-1960,,
523,Jaran Chiaravanont,92,5200,2022,4,Diversified,Thailand,,Bangkok,Thailand,FALSE,M,01-04-1930,,
523,Ravi Jaipuria,67,5200,2022,4,Food & Beverage,India,,Delhi,India,FALSE,M,28-11-1954,,
523,Koon Poh Keong,60,5200,2022,4,Manufacturing,Malaysia,,Petaling Jaya,Malaysia,TRUE,M,25-04-1961,,
523,Li Liangbin,54,5200,2022,4,Manufacturing,China,,Xinyu,China,TRUE,M,01-09-1967,,
523,Liang Feng,53,5200,2022,4,Manufacturing,China,,Shanghai,China,TRUE,M,22-11-1968,,
523,Wolfgang Marguerre & family,80,5200,2022,4,Healthcare,Germany,,Heidelberg,Germany,TRUE,M,04-06-1941,,
523,Katharine Rayner,77,5200,2022,4,Media & Entertainment,United States,New York,East Hampton,United States,FALSE,F,12-01-1945,,1
523,Carlos Rodriguez-Pastor,62,5200,2022,4,Finance & Investments,Peru,,Lima,Peru,FALSE,M,11-04-1959,,
523,Margaretta Taylor,79,5200,2022,4,Media & Entertainment,United States,New York,Southampton,United States,FALSE,F,15-04-1942,,1
523,You Xiaoping,64,5200,2022,4,Manufacturing,China,,Wenzhou,China,TRUE,M,21-01-1958,,
523,Eric Yuan & family,52,5200,2022,4,Technology,United States,California,Santa Clara,United States,TRUE,M,20-02-1970,Founder and CEO,
536,Robert Bass,74,5100,2022,4,Energy,United States,Texas,Fort Worth,United States,FALSE,M,19-03-1948,,2
536,Alexandre Behring,55,5100,2022,4,Finance & Investments,United States,Connecticut,Greenwich,Brazil,TRUE,M,20-02-1967,,
536,Chan Laiwa & family,81,5100,2022,4,Real Estate,China,,Beijing,China,TRUE,F,01-01-1941,Philanthropist,
536,Jeff Greene,67,5100,2022,4,Real Estate,United States,Florida,Palm Beach,United States,TRUE,M,10-12-1954,,1
536,Montri Jiaravanont,91,5100,2022,4,Diversified,Thailand,,Bangkok,Thailand,FALSE,M,01-04-1931,,
536,Charles B. Johnson,89,5100,2022,4,Finance & Investments,United States,Florida,Palm Beach,United States,FALSE,M,06-01-1933,Former Chairman and CEO,3
536,Elizabeth Johnson,58,5100,2022,4,Finance & Investments,United States,Massachusetts,Boston,United States,FALSE,F,07-05-1963,,2
536,Lin Bin,54,5100,2022,4,Technology,China,,Shenzhen,United States,TRUE,M,01-02-1968,,
536,Hiroshi Mikitani,57,5100,2022,4,Fashion & Retail,Japan,,Tokyo,Japan,TRUE,M,11-03-1965,,
536,Isaac Perlmutter,79,5100,2022,4,Media & Entertainment,United States,Florida,Palm Beach,United States,TRUE,M,01-12-1942,Chairman,1
536,Michael Pieper,76,5100,2022,4,Manufacturing,Switzerland,,Lucerne,Switzerland,TRUE,M,05-02-1946,CEO of Artemis Group,
536,Issad Rebrab & family,78,5100,2022,4,Food & Beverage,Algeria,,Algiers,Algeria,TRUE,M,01-01-1944,,
536,Tsai Hong-tu,69,5100,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,01-08-1952,,
536,Richard Tsai,64,5100,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,02-06-1957,,
536,Wang Junshi & family,73,5100,2022,4,Manufacturing,China,,Ningbo,China,TRUE,M,01-01-1949,,
536,Wang Yanqing & family,55,5100,2022,4,Manufacturing,China,,Wuxi,China,TRUE,M,07-04-1966,,
552,Shari Arison,64,5000,2022,4,Service,Israel,,Tel Aviv,Israel,FALSE,F,09-09-1957,"Investor, Philanthropist",
552,Alain Bouchard,73,5000,2022,4,Fashion & Retail,Canada,,Montreal,Canada,TRUE,M,18-02-1949,Entrepreneur,
552,"Austen Cargill, II.",71,5000,2022,4,Food & Beverage,United States,Montana,Livingston,United States,FALSE,M,09-03-1951,,1
552,"James Cargill, II.",72,5000,2022,4,Food & Beverage,United States,Wisconsin,Birchwood,United States,FALSE,M,07-04-1949,,1
552,Ben Chestnut,47,5000,2022,4,Technology,United States,Georgia,Atlanta,United States,TRUE,M,15-06-1974,,1
552,Wei Fang,48,5000,2022,4,Manufacturing,China,,Beijing,China,TRUE,M,04-09-1973,,
552,Leonid Fedun,66,5000,2022,4,Energy,Russia,,Moscow,Russia,TRUE,M,05-04-1956,,
552,Johann Graf,75,5000,2022,4,Gambling & Casinos,Austria,,Vienna,Austria,TRUE,M,03-01-1947,,
552,Huang Chulong,63,5000,2022,4,Real Estate,China,,Shenzhen,Canada,TRUE,M,01-01-1959,,
552,Huang Yi,60,5000,2022,4,Automotive,China,,Beijing,Hong Kong,TRUE,M,01-01-1962,,
552,Vladimir Kim,61,5000,2022,4,Metals & Mining,Kazakhstan,,Almaty,Kazakhstan,TRUE,M,29-10-1960,,
552,Dan Kurzius,50,5000,2022,4,Technology,United States,Georgia,Atlanta,United States,TRUE,M,01-12-1971,,
552,Ronald Lauder,78,5000,2022,4,Fashion & Retail,United States,New York,New York,United States,FALSE,M,26-02-1944,,2
552,Marianne Liebmann,68,5000,2022,4,Food & Beverage,United States,Montana,Bozeman,United States,FALSE,F,11-07-1953,,1
552,Tobi Lutke,41,5000,2022,4,Technology,Canada,,Ottawa,Canada,TRUE,M,16-07-1980,,
552,Thomas Pritzker,71,5000,2022,4,Finance & Investments,United States,Illinois,Chicago,United States,FALSE,M,06-06-1950,Executive Chairman,2
552,Scott Shleifer,44,5000,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,14-06-1977,Investor,2
552,Autry Stephens,83,5000,2022,4,Energy,United States,Texas,Midland,United States,TRUE,M,01-01-1939,,
552,Peter Thiel,54,5000,2022,4,Finance & Investments,United States,California,Los Angeles,United States,TRUE,M,11-10-1967,Investor,2
552,Tsai Cheng-ta,72,5000,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,01-04-1950,,
552,Maximilian Viessmann,,5000,2022,4,Manufacturing,Germany,,Battenberg,Germany,FALSE,M,,,
552,Hansjoerg Wyss,87,5000,2022,4,Healthcare,United States,Wyoming,Wilson,Switzerland,TRUE,M,01-01-1935,,
552,Xiao Yongming & family,57,5000,2022,4,Diversified,China,,Beijing,China,TRUE,M,01-07-1964,,
552,Zhang Tao,49,5000,2022,4,Fashion & Retail,China,,Beijing,China,TRUE,M,01-11-1972,,
552,Daniel Ziff,50,5000,2022,4,Finance & Investments,United States,New York,New York,United States,FALSE,M,02-11-1971,,1
552,Dirk Ziff,58,5000,2022,4,Finance & Investments,United States,Florida,North Palm Beach,United States,FALSE,M,01-04-1964,,1
552,Robert Ziff,55,5000,2022,4,Finance & Investments,United States,New York,New York,United States,FALSE,M,12-08-1966,,1
579,Kapil & Rahul Bhatia,,4900,2022,4,Service,India,,Delhi,India,TRUE,M,,,
579,Mat Ishbia,42,4900,2022,4,Finance & Investments,United States,Michigan,Bloomfield Hills,United States,FALSE,M,06-01-1980,,1
579,"Robert Rich, Jr.",81,4900,2022,4,Food & Beverage,United States,Florida,Islamorada,United States,FALSE,M,25-01-1941,,1
579,Thomas Schmidheiny,76,4900,2022,4,Construction & Engineering,Switzerland,,Jona,Switzerland,FALSE,M,17-12-1945,,
579,Alexandra Schoerghuber & family,63,4900,2022,4,Real Estate,Germany,,Munich,Germany,FALSE,F,24-07-1958,,
579,Erik Selin,54,4900,2022,4,Real Estate,Sweden,,Göteborg,Sweden,TRUE,M,08-05-1967,Entrepreneur,
579,Daniel Tsai,65,4900,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,25-04-1956,,
586,Dona Bertarelli,54,4800,2022,4,Healthcare,Switzerland,,Gstaad,Switzerland,FALSE,F,01-01-1968,,
586,Andrei Guriev & family,62,4800,2022,4,Manufacturing,Russia,,Moscow,Russia,TRUE,M,24-03-1960,,
586,Luciano Hang,59,4800,2022,4,Fashion & Retail,Brazil,,Brusque,Brazil,TRUE,M,11-10-1962,,
586,Hu Baifan,59,4800,2022,4,Healthcare,China,,Shaoxing,China,TRUE,M,01-10-1962,,
586,Bidzina Ivanishvili,66,4800,2022,4,Finance & Investments,Georgia,,Tbilisi,Georgia,TRUE,M,18-02-1956,,
586,Yeow Chor & Yeow Seng Lee,,4800,2022,4,Food & Beverage,Malaysia,,,Malaysia,FALSE,M,,,
586,Leng Youbin,53,4800,2022,4,Food & Beverage,China,,Beijing,China,TRUE,M,01-01-1969,,
586,Theo Mueller,82,4800,2022,4,Food & Beverage,Switzerland,,Zurich,Germany,FALSE,M,30-01-1940,Entrepreneur,
586,"Julian Robertson, Jr.",89,4800,2022,4,Finance & Investments,United States,New York,Locust Valley,United States,TRUE,M,25-06-1932,,5
586,Marc Rowan,59,4800,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,19-08-1962,,2
586,Emanuele (Lino) Saputo & family,85,4800,2022,4,Food & Beverage,Canada,,Montreal,Canada,FALSE,M,01-01-1937,Chairman,
586,Jeff Skoll,57,4800,2022,4,Technology,United States,California,Los Angeles,United States,TRUE,M,16-01-1965,,4
586,Frank Wang,41,4800,2022,4,Technology,China,,Shenzhen,China,TRUE,M,30-10-1980,Entrepreneur,
586,Wang Junlin,59,4800,2022,4,Food & Beverage,China,,Chengdu,China,TRUE,M,01-09-1962,,
586,Yang Shaopeng,64,4800,2022,4,Logistics,China,,Qingdao,China,TRUE,M,01-01-1958,,
601,Maria Fernanda Amorim & family,87,4700,2022,4,Diversified,Portugal,,Grijo,Portugal,FALSE,F,16-01-1935,,
601,Leonid Boguslavsky,70,4700,2022,4,Finance & Investments,Italy,,Florence,Russia,TRUE,M,17-06-1951,,
601,Richard Branson,71,4700,2022,4,Diversified,British Virgin Islands,,Necker Island,United Kingdom,TRUE,M,18-07-1950,,
601,Robert Brockman,80,4700,2022,4,Technology,United States,Texas,Houston,United States,TRUE,M,28-05-1941,,2
601,Pierre Chen,65,4700,2022,4,Technology,Taiwan,,Taipei,Taiwan,TRUE,M,28-09-1956,Entrepreneur,
601,Chu Mang Yee & family,62,4700,2022,4,Real Estate,China,,Guangzhou,China,TRUE,M,01-01-1960,,
601,Scott Cook,69,4700,2022,4,Technology,United States,California,Woodside,United States,TRUE,M,26-07-1952,,3
601,Mark Cuban,63,4700,2022,4,Media & Entertainment,United States,Texas,Dallas,United States,TRUE,M,31-07-1958,Owner,1
601,Guenther Fielmann & family,82,4700,2022,4,Healthcare,Germany,,Hamburg,Germany,TRUE,M,17-09-1939,,
601,Martin Haefner,68,4700,2022,4,Technology,Switzerland,,Zurich,Switzerland,FALSE,M,01-01-1954,,
601,Johnelle Hunt,90,4700,2022,4,Logistics,United States,Arkansas,Fayetteville,United States,TRUE,F,04-01-1932,,2
601,"Andre Koo, Sr.",54,4700,2022,4,Finance & Investments,Taiwan,,Taipei,Taiwan,FALSE,M,25-05-1967,,
601,Lai Meisong,51,4700,2022,4,Logistics,China,,Shanghai,China,TRUE,M,01-01-1971,,
601,Richard Li,55,4700,2022,4,Telecom,Hong Kong,,Hong Kong,Hong Kong,FALSE,M,08-11-1966,,
601,Mangal Prabhat Lodha,66,4700,2022,4,Real Estate,India,,Mumbai,India,TRUE,M,01-12-1955,,
601,Igor Olenicoff,79,4700,2022,4,Real Estate,United States,Florida,Lighthouse Point,United States,TRUE,M,20-09-1942,,1
601,Mark Shoen,71,4700,2022,4,Automotive,United States,Arizona,Phoenix,United States,FALSE,M,20-11-1950,,
601,Andrei Skoch & family,56,4700,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,30-01-1966,,
601,Fred Smith,77,4700,2022,4,Logistics,United States,Tennessee,Memphis,United States,TRUE,M,11-08-1944,Chairman and CEO,1
601,Murat Ulker,63,4700,2022,4,Food & Beverage,Turkey,,Istanbul,Turkey,FALSE,M,23-03-1959,,
601,Yu Yong,61,4700,2022,4,Finance & Investments,China,,Shanghai,China,TRUE,M,01-02-1961,,
622,Stéphane Bancel,49,4600,2022,4,Healthcare,United States,Massachusetts,Boston,France,TRUE,M,20-07-1972,,
622,Bubba Cathy,67,4600,2022,4,Food & Beverage,United States,Georgia,Atlanta,United States,FALSE,M,22-04-1954,,1
622,Dan Cathy,69,4600,2022,4,Food & Beverage,United States,Georgia,Atlanta,United States,FALSE,M,01-03-1953,,1
622,Trudy Cathy White,66,4600,2022,4,Food & Beverage,United States,Georgia,Hampton,United States,FALSE,F,17-12-1955,,1
622,Jason Chang,77,4600,2022,4,Technology,Taiwan,,Taipei,Singapore,TRUE,M,01-05-1944,,
622,Dagmar Dolby & family,80,4600,2022,4,Technology,United States,California,San Francisco,United States,FALSE,F,28-06-1941,,3
622,Bruce Flatt,56,4600,2022,4,Finance & Investments,United Kingdom,,London,Canada,TRUE,M,01-06-1965,Investor,
622,Masatoshi Ito,97,4600,2022,4,Fashion & Retail,Japan,,Tokyo,Japan,TRUE,M,30-04-1924,,
622,Viatcheslav Kantor,68,4600,2022,4,Manufacturing,United Kingdom,,London,Russia,TRUE,M,08-09-1953,,
622,Min Kao & family,73,4600,2022,4,Technology,United States,Kansas,Leawood,United States,TRUE,M,10-01-1949,Chairman and CEO,1
622,Lin Xiucheng & family,66,4600,2022,4,Technology,China,,Xiamen,China,TRUE,M,10-10-1955,,
622,Sami Mnaymneh,60,4600,2022,4,Finance & Investments,United States,Florida,Miami Beach,United States,TRUE,M,13-07-1961,,1
622,Tony Tamer,64,4600,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,12-10-1957,,
622,Richard White,67,4600,2022,4,Technology,Australia,,Sydney,Australia,TRUE,M,01-04-1955,,
622,Baoguo Zhu & family,59,4600,2022,4,Healthcare,China,,Shenzhen,China,TRUE,M,25-04-1962,,
637,Michael Ashley,57,4500,2022,4,Fashion & Retail,United Kingdom,,Hertfordshire,United Kingdom,TRUE,M,12-09-1964,,
637,Ron Baron,78,4500,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,23-05-1943,,1
637,Bert Beveridge,60,4500,2022,4,Food & Beverage,United States,Texas,Austin,United States,TRUE,M,01-01-1962,,
637,Todd Boehly,48,4500,2022,4,Finance & Investments,United States,Connecticut,Darien,United States,TRUE,M,20-09-1973,,
637,David Bonderman,79,4500,2022,4,Finance & Investments,United States,Texas,Fort Worth,United States,TRUE,M,27-11-1942,,2
637,Guo Guangchang,55,4500,2022,4,Diversified,China,,Shanghai,China,TRUE,M,16-02-1967,,
637,Daryl Katz,60,4500,2022,4,Diversified,Canada,,Edmonton,Canada,TRUE,M,01-09-1961,Chairman,
637,Ted Lerner & family,96,4500,2022,4,Real Estate,United States,Maryland,Chevy Chase,United States,TRUE,M,15-10-1925,,1
637,Falguni Nayar,59,4500,2022,4,Fashion & Retail,India,,Mumbai,India,TRUE,F,19-02-1963,Founder & CEO,
637,Trevor Rees-Jones,70,4500,2022,4,Energy,United States,Texas,Dallas,United States,TRUE,M,12-08-1951,,3
637,J. Joe Ricketts & family,80,4500,2022,4,Finance & Investments,United States,Wyoming,Little Jackson Hole,United States,TRUE,M,16-07-1941,,3
637,Robert Rowling,68,4500,2022,4,Service,United States,Texas,Dallas,United States,FALSE,M,26-09-1953,,2
637,Mark Stevens,62,4500,2022,4,Finance & Investments,United States,Colorado,Steamboat Springs,United States,TRUE,M,17-02-1960,,2
637,Gustav Magnar Witzoe,28,4500,2022,4,Food & Beverage,Norway,,Kverva,Norway,FALSE,M,22-04-1993,,
637,Xie Liangzhi & family,56,4500,2022,4,Healthcare,China,,Beijing,China,TRUE,M,01-01-1966,,
637,Yeung Kin-man,58,4500,2022,4,Manufacturing,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-04-1964,,
637,Zhang Hejun,,4500,2022,4,Manufacturing,China,,Ningbo,China,TRUE,M,,,
654,Andrej Babis,67,4400,2022,4,Food & Beverage,Czechia,,Prague,Czechia,TRUE,M,02-09-1954,,
654,Giuseppe De'Longhi & family,82,4400,2022,4,Fashion & Retail,Italy,,Treviso,Italy,FALSE,M,24-04-1939,,
654,Barry Diller,80,4400,2022,4,Media & Entertainment,United States,New York,New York,United States,TRUE,M,02-02-1942,,3
654,Christian Haub,57,4400,2022,4,Fashion & Retail,Germany,,Munich,Germany,FALSE,M,22-07-1964,,
654,Huang Li,58,4400,2022,4,Technology,China,,Wuhan,China,TRUE,M,27-06-1963,,
654,Marian Ilitch,89,4400,2022,4,Food & Beverage,United States,Michigan,Bingham Farms,United States,TRUE,F,07-01-1933,Entrepreneur,2
654,Suleiman Kerimov & family,56,4400,2022,4,Finance & Investments,Russia,,Moscow,Russia,TRUE,M,12-03-1966,,
654,Edwin Leong,70,4400,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,04-12-1951,,
654,Lu Yiwen,35,4400,2022,4,Fashion & Retail,China,,Shenzhen,China,TRUE,F,01-01-1987,,
654,N.R. Narayana Murthy,75,4400,2022,4,Technology,India,,Bangalore,India,TRUE,M,20-08-1946,,
654,Yang Jianliang & family,52,4400,2022,4,Manufacturing,China,,Wuxi,China,TRUE,M,01-06-1969,,
665,Pyotr Aven,67,4300,2022,4,Finance & Investments,Russia,,Moscow,Russia,TRUE,M,16-03-1955,,
665,Joesley Batista,50,4300,2022,4,Food & Beverage,Brazil,,Sao Paulo,Brazil,FALSE,M,05-02-1972,,
665,Wesley Batista,49,4300,2022,4,Food & Beverage,Brazil,,Sao Paulo,Brazil,FALSE,M,08-12-1972,,
665,Margot Birmingham Perot,88,4300,2022,4,Technology,United States,Texas,Dallas,United States,FALSE,F,15-11-1933,,2
665,Rick Caruso,63,4300,2022,4,Real Estate,United States,California,Los Angeles,United States,TRUE,M,07-01-1959,,2
665,Jim Davis,62,4300,2022,4,Service,United States,Maryland,Cockeysville,United States,TRUE,M,13-03-1960,,2
665,Walter P.J. Droege,69,4300,2022,4,Finance & Investments,Germany,,Dusseldorf,Germany,TRUE,M,25-11-1952,,
665,Dan Friedkin,57,4300,2022,4,Automotive,United States,Texas,Houston,United States,FALSE,M,27-02-1965,owner and ceo,4
665,Gao Dekang & family,70,4300,2022,4,Fashion & Retail,China,,Changshu,China,TRUE,M,01-02-1952,,
665,Antti Herlin,65,4300,2022,4,Manufacturing,Finland,,Kirkkonummi,Finland,FALSE,M,14-11-1956,,
665,W. Herbert Hunt,93,4300,2022,4,Energy,United States,Texas,Dallas,United States,FALSE,M,06-03-1929,Investor,1
665,Jason Jiang,49,4300,2022,4,Media & Entertainment,China,,Shanghai,China,TRUE,M,01-01-1973,,
665,"Rupert Johnson, Jr.",81,4300,2022,4,Finance & Investments,United States,California,Burlingame,United States,FALSE,M,10-08-1940,Vice Chairman and Director,2
665,Vikram Lal & family,80,4300,2022,4,Automotive,India,,Delhi,India,FALSE,M,05-03-1942,,
665,Lam Wai-ying,,4300,2022,4,Manufacturing,Hong Kong,,Hong Kong,Hong Kong,TRUE,F,,Chairman ,
665,Chris Larsen,61,4300,2022,4,Finance & Investments,United States,California,San Francisco,United States,TRUE,M,15-06-1960,,3
665,Richard Schulze,81,4300,2022,4,Fashion & Retail,United States,Florida,Bonita Springs,United States,TRUE,M,02-01-1941,Chairman,2
665,Paul Singer,77,4300,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,22-08-1944,Investor,2
665,Barry Sternlicht,61,4300,2022,4,Finance & Investments,United States,Florida,Miami,United States,TRUE,M,27-11-1960,,1
665,Su Hua,40,4300,2022,4,Media & Entertainment,China,,Beijing,China,TRUE,M,01-01-1982,,
665,Mark Walter,61,4300,2022,4,Finance & Investments,United States,Illinois,Chicago,United States,TRUE,M,22-05-1960,CEO,1
665,Ty Warner,77,4300,2022,4,Real Estate,United States,Illinois,Oak Brook,United States,TRUE,M,03-09-1944,,2
687,Rinat Akhmetov,55,4200,2022,4,Metals & Mining,Ukraine,,Donetsk,Ukraine,TRUE,M,21-09-1966,,
687,Martin & Olivier Bouygues,,4200,2022,4,Construction & Engineering,France,,Paris,France,FALSE,M,,,
687,Bernard Broermann,78,4200,2022,4,Healthcare,Germany,,Koenigstein,Germany,TRUE,M,22-11-1943,,
687,Mong-Koo Chung,84,4200,2022,4,Automotive,South Korea,,Seoul,South Korea,FALSE,M,19-03-1938,Chairman,
687,Daniel D'Aniello,75,4200,2022,4,Finance & Investments,United States,Virginia,Vienna,United States,TRUE,M,14-09-1946,,2
687,Traudl Engelhorn & family,95,4200,2022,4,Healthcare,Switzerland,,Lucerne,Germany,FALSE,F,21-01-1927,,
687,Piero Ferrari,76,4200,2022,4,Automotive,Italy,,Modena,Italy,FALSE,M,22-05-1945,,
687,Carlo Fidani,67,4200,2022,4,Real Estate,Canada,,Toronto,Canada,FALSE,M,01-01-1955,Chairman,
687,Yakir Gabay,55,4200,2022,4,Real Estate,United Kingdom,,London,Cyprus,TRUE,M,13-04-1966,,
687,Jaime Gilinski Bacal,64,4200,2022,4,Finance & Investments,United Kingdom,,London,Colombia,FALSE,M,14-12-1957,Investor,
687,Bertil Hult,81,4200,2022,4,Service,Switzerland,,Lucerne,Sweden,TRUE,M,10-02-1941,,
687,Martha Ingram & family,86,4200,2022,4,Media & Entertainment,United States,Tennessee,Nashville,United States,FALSE,F,20-08-1935,Former Chairman,1
687,Lee Yin Yee,70,4200,2022,4,Manufacturing,Hong Kong,,Hong Kong,China,TRUE,M,01-01-1952,,
687,Daniel Loeb,60,4200,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,18-12-1961,Investor,2
687,Janice McNair,85,4200,2022,4,Sports,United States,Texas,Houston,United States,FALSE,F,30-09-1936,,2
687,Ajay Piramal,66,4200,2022,4,Healthcare,India,,Mumbai,India,FALSE,M,03-08-1955,,
687,Lynsi Snyder,39,4200,2022,4,Food & Beverage,United States,California,Glendora,United States,FALSE,F,05-05-1982,,1
687,Peter Spuhler,62,4200,2022,4,Manufacturing,Switzerland,,Weiningen,Switzerland,TRUE,M,01-09-1959,,
687,Kerry Stokes,81,4200,2022,4,Diversified,Australia,,Perth,Australia,TRUE,M,13-09-1940,,
687,Jon Stryker,63,4200,2022,4,Healthcare,United States,New York,New York,United States,FALSE,M,03-05-1958,,4
687,Vincent Viola,66,4200,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,12-02-1956,,1
687,Romesh T. Wadhwani,74,4200,2022,4,Technology,United States,California,Palo Alto,United States,TRUE,M,25-08-1947,Founder and Chairman,2
709,Juan Domingo Beckmann Legorreta & family,54,4100,2022,4,Food & Beverage,Mexico,,,Mexico,FALSE,M,01-07-1967,,
709,Rafael Del Pino,63,4100,2022,4,Construction & Engineering,Spain,,Madrid,Spain,FALSE,M,18-07-1958,,
709,Sergey Dmitriev,56,4100,2022,4,Technology,Czechia,,Prague,Russia,TRUE,M,11-03-1966,,
709,Senapathy Gopalakrishnan,67,4100,2022,4,Technology,India,,Bangalore,India,TRUE,M,05-04-1955,,
709,James Irving,94,4100,2022,4,Diversified,Canada,,Saint John,Canada,FALSE,M,20-03-1928,,
709,Lee Boo-jin,51,4100,2022,4,Service,South Korea,,Seoul,South Korea,FALSE,F,06-10-1970,President and CEO,
709,Samuel Tak Lee,82,4100,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,FALSE,M,09-04-1939,,
709,Thai Lee,63,4100,2022,4,Technology,United States,Texas,Austin,United States,TRUE,F,27-11-1958,,1
709,Eric Lefkofsky,52,4100,2022,4,Technology,United States,Illinois,Glencoe,United States,TRUE,M,02-09-1969,Chairman,2
709,Weiguo Li,57,4100,2022,4,Manufacturing,China,,Beijing,China,TRUE,M,01-01-1965,,
709,Ermirio Pereira de Moraes & family,89,4100,2022,4,Diversified,Brazil,,Sao Paulo,Brazil,FALSE,M,13-05-1932,,
709,Maria Helena Moraes Scripilliti & family,91,4100,2022,4,Diversified,Brazil,,Sao Paulo,Brazil,FALSE,F,20-09-1930,,
709,Augusto & Giorgio Perfetti,,4100,2022,4,Food & Beverage,Switzerland,,Lugano,Italy,FALSE,M,,,
709,Thomas Secunda,67,4100,2022,4,Media & Entertainment,United States,New York,Croton-on-Hudson,United States,TRUE,M,23-06-1954,,2
709,Shaul Shani,67,4100,2022,4,Telecom,Italy,,Milan,Israel,TRUE,M,01-01-1955,,
709,E. Joe Shoen,72,4100,2022,4,Automotive,United States,Arizona,Phoenix,United States,FALSE,M,28-10-1949,,
709,Steven Udvar-Hazy,76,4100,2022,4,Service,United States,California,Beverly Hills,United States,TRUE,M,23-02-1946,CEO and Chairman,3
709,Russ Weiner,51,4100,2022,4,Food & Beverage,United States,Florida,Delray Beach,United States,TRUE,M,05-05-1970,,1
709,Guanjiang Wu & family,53,4100,2022,4,Healthcare,China,,Chongqing,China,TRUE,M,21-12-1968,,
728,Anil Agarwal & family,68,4000,2022,4,Metals & Mining,United Kingdom,,London,India,TRUE,M,07-09-1953,,
728,Somphote Ahunai,54,4000,2022,4,Energy,Thailand,,Bangkok,Thailand,TRUE,M,01-06-1967,,
728,Patrizio Bertelli,76,4000,2022,4,Fashion & Retail,Italy,,Milan,Italy,TRUE,M,01-01-1946,,
728,Rakesh Gangwal,68,4000,2022,4,Service,United States,Florida,Miami,United States,TRUE,M,25-07-1953,,1
728,Paul Gauselmann & family,87,4000,2022,4,Gambling & Casinos,Germany,,Espelkamp,Germany,TRUE,M,26-08-1934,,
728,Hao Hong,66,4000,2022,4,Healthcare,China,,Tianjin,United States,TRUE,M,01-01-1956,,
728,He Xiaopeng,44,4000,2022,4,Automotive,China,,Guangzhou,China,TRUE,M,03-11-1977,,
728,Michael Herz,78,4000,2022,4,Fashion & Retail,Germany,,Hamburg,Germany,FALSE,M,28-09-1943,,
728,Wolfgang Herz,71,4000,2022,4,Fashion & Retail,Germany,,Hamburg,Germany,FALSE,M,01-01-1951,,
728,Arthur Irving,92,4000,2022,4,Energy,Canada,,Saint John,Canada,FALSE,M,01-01-1930,,
728,Victor Jacobsson,40,4000,2022,4,Finance & Investments,Sweden,,Stockholm,Sweden,TRUE,M,28-08-1981,,
728,Marc Ladreit de Lacharriere,81,4000,2022,4,Finance & Investments,France,,Paris,France,TRUE,M,06-11-1940,,
728,Patrick Lee,80,4000,2022,4,Manufacturing,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-01-1942,,
728,Max Lytvyn,42,4000,2022,4,Technology,United States,California,San Francisco,Canada,TRUE,M,01-01-1980,,
728,Gilles Martin,58,4000,2022,4,Healthcare,France,,Nantes,France,TRUE,M,20-10-1963,,
